miRNA_identifier,description,symbol,miRNA_length,miRNA_chr,mirna_start,mirna_end,miRNA_strand,miRNA_source,trait,QTL_id_UMD31,QTL_chr
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk capric acid content,56363,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk lauric acid content,56364,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk myristic acid content,56365,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk palmitoleic acid content,56366,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk oleic acid content,56367,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk conjugated linoleic acid content,56368,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk caprylic acid content,56636,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk capric acid content,56637,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk lauric acid content,56638,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk myristic acid content,56639,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk palmitic acid content,56640,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk caprylic acid content,172163,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk capric acid content,172164,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk lauric acid content,172165,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk myristic acid content,172166,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk palmitic acid content,172167,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk oleic acid content,172168,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk C14 index,172169,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk C18 index,172170,Chr19
ENSBTAT00000042155-UMD3.1.1,bta-mir-124a-1 [Source:miRBase;Acc:MI0005027],bta-mir-124a-1,85,Chr8,9153380,9153464,1,Ensembl93,Shear force,20770,Chr8
ENSBTAT00000042156-UMD3.1.1,bta-mir-340 [Source:miRBase;Acc:MI0009809],bta-mir-340,95,Chr7,1146988,1147082,1,Ensembl93,Milk sodium content,180196,Chr7
ENSBTAT00000042156-UMD3.1.1,bta-mir-340 [Source:miRBase;Acc:MI0009809],bta-mir-340,95,Chr7,1146988,1147082,1,Ensembl93,Milk lactose content,180197,Chr7
ENSBTAT00000042156-UMD3.1.1,bta-mir-340 [Source:miRBase;Acc:MI0009809],bta-mir-340,95,Chr7,1146988,1147082,1,Ensembl93,Body weight (weaning),106634,Chr7
ENSBTAT00000042157-UMD3.1.1,bta-mir-32 [Source:miRBase;Acc:MI0009796],bta-mir-32,70,Chr8,100305160,100305229,-1,Ensembl93,Calving ease (maternal),106492,Chr8
ENSBTAT00000042157-UMD3.1.1,bta-mir-32 [Source:miRBase;Acc:MI0009796],bta-mir-32,70,Chr8,100305160,100305229,-1,Ensembl93,Shear force,20773,Chr8
ENSBTAT00000042161-UMD3.1.1,bta-mir-370 [Source:miRBase;Acc:MI0009814],bta-mir-370,75,Chr21,67457237,67457311,1,Ensembl93,Sire conception rate,124004,Chr21
ENSBTAT00000042162-UMD3.1.1,bta-mir-218-1 [Source:miRBase;Acc:MI0009780],bta-mir-218-1,110,Chr6,41545029,41545138,1,Ensembl93,Milk lauroleic acid content,56321,Chr6
ENSBTAT00000042162-UMD3.1.1,bta-mir-218-1 [Source:miRBase;Acc:MI0009780],bta-mir-218-1,110,Chr6,41545029,41545138,1,Ensembl93,Milk myristoleic acid content,56322,Chr6
ENSBTAT00000042162-UMD3.1.1,bta-mir-218-1 [Source:miRBase;Acc:MI0009780],bta-mir-218-1,110,Chr6,41545029,41545138,1,Ensembl93,Milk palmitoleic acid content,56323,Chr6
ENSBTAT00000042162-UMD3.1.1,bta-mir-218-1 [Source:miRBase;Acc:MI0009780],bta-mir-218-1,110,Chr6,41545029,41545138,1,Ensembl93,Body weight (yearling),24790,Chr6
ENSBTAT00000042162-UMD3.1.1,bta-mir-218-1 [Source:miRBase;Acc:MI0009780],bta-mir-218-1,110,Chr6,41545029,41545138,1,Ensembl93,Milk kappa-casein content,20571,Chr6
ENSBTAT00000042162-UMD3.1.1,bta-mir-218-1 [Source:miRBase;Acc:MI0009780],bta-mir-218-1,110,Chr6,41545029,41545138,1,Ensembl93,Milk protein content,20593,Chr6
ENSBTAT00000042162-UMD3.1.1,bta-mir-218-1 [Source:miRBase;Acc:MI0009780],bta-mir-218-1,110,Chr6,41545029,41545138,1,Ensembl93,Shear force,20764,Chr6
ENSBTAT00000042166-UMD3.1.1,bta-mir-301a [Source:miRBase;Acc:MI0009789],bta-mir-301a,85,Chr19,10349506,10349590,-1,Ensembl93,Age at puberty,179230,Chr19
ENSBTAT00000042166-UMD3.1.1,bta-mir-301a [Source:miRBase;Acc:MI0009789],bta-mir-301a,85,Chr19,10349506,10349590,-1,Ensembl93,Gestation length,15525,Chr19
ENSBTAT00000042166-UMD3.1.1,bta-mir-301a [Source:miRBase;Acc:MI0009789],bta-mir-301a,85,Chr19,10349506,10349590,-1,Ensembl93,Gestation length,15526,Chr19
ENSBTAT00000042167-UMD3.1.1,bta-mir-196a-2 [Source:miRBase;Acc:MI0009766],bta-mir-196a-2,85,Chr5,26199801,26199885,-1,Ensembl93,trans-12-C18:1 fatty acid content,20523,Chr5
ENSBTAT00000042167-UMD3.1.1,bta-mir-196a-2 [Source:miRBase;Acc:MI0009766],bta-mir-196a-2,85,Chr5,26199801,26199885,-1,Ensembl93,Teat length,214866,Chr5
ENSBTAT00000042167-UMD3.1.1,bta-mir-196a-2 [Source:miRBase;Acc:MI0009766],bta-mir-196a-2,85,Chr5,26199801,26199885,-1,Ensembl93,Intramuscular fat,22866,Chr5
ENSBTAT00000042168-UMD3.1.1,,,108,Chr21,67593241,67593348,1,Ensembl93,Sire conception rate,124004,Chr21
ENSBTAT00000042169-UMD3.1.1,bta-mir-1-1 [Source:miRBase;Acc:MI0009719],bta-mir-1-1,76,Chr13,55237544,55237619,-1,Ensembl93,Calf size,30527,Chr13
ENSBTAT00000042169-UMD3.1.1,bta-mir-1-1 [Source:miRBase;Acc:MI0009719],bta-mir-1-1,76,Chr13,55237544,55237619,-1,Ensembl93,Milk caproic acid content,56617,Chr13
ENSBTAT00000042169-UMD3.1.1,bta-mir-1-1 [Source:miRBase;Acc:MI0009719],bta-mir-1-1,76,Chr13,55237544,55237619,-1,Ensembl93,Milk caprylic acid content,56618,Chr13
ENSBTAT00000042169-UMD3.1.1,bta-mir-1-1 [Source:miRBase;Acc:MI0009719],bta-mir-1-1,76,Chr13,55237544,55237619,-1,Ensembl93,Milk capric acid content,56619,Chr13
ENSBTAT00000042169-UMD3.1.1,bta-mir-1-1 [Source:miRBase;Acc:MI0009719],bta-mir-1-1,76,Chr13,55237544,55237619,-1,Ensembl93,Milk caproic acid content,56345,Chr13
ENSBTAT00000042169-UMD3.1.1,bta-mir-1-1 [Source:miRBase;Acc:MI0009719],bta-mir-1-1,76,Chr13,55237544,55237619,-1,Ensembl93,Milk caprylic acid content,56346,Chr13
ENSBTAT00000042169-UMD3.1.1,bta-mir-1-1 [Source:miRBase;Acc:MI0009719],bta-mir-1-1,76,Chr13,55237544,55237619,-1,Ensembl93,Milk capric acid content,56347,Chr13
ENSBTAT00000042169-UMD3.1.1,bta-mir-1-1 [Source:miRBase;Acc:MI0009719],bta-mir-1-1,76,Chr13,55237544,55237619,-1,Ensembl93,Milk myristoleic acid content,56348,Chr13
ENSBTAT00000042169-UMD3.1.1,bta-mir-1-1 [Source:miRBase;Acc:MI0009719],bta-mir-1-1,76,Chr13,55237544,55237619,-1,Ensembl93,Milk palmitoleic acid content,56349,Chr13
ENSBTAT00000042170-UMD3.1.1,,,126,Chr21,67592846,67592971,1,Ensembl93,Sire conception rate,124004,Chr21
ENSBTAT00000042171-UMD3.1.1,,,115,Chr21,67416595,67416709,1,Ensembl93,Sire conception rate,124004,Chr21
ENSBTAT00000042172-UMD3.1.1,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,Chr13,51742417,51742496,-1,Ensembl93,Calving ease,106445,Chr13
ENSBTAT00000042172-UMD3.1.1,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,Chr13,51742417,51742496,-1,Ensembl93,Milk caproic acid content,56617,Chr13
ENSBTAT00000042172-UMD3.1.1,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,Chr13,51742417,51742496,-1,Ensembl93,Milk caprylic acid content,56618,Chr13
ENSBTAT00000042172-UMD3.1.1,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,Chr13,51742417,51742496,-1,Ensembl93,Milk capric acid content,56619,Chr13
ENSBTAT00000042172-UMD3.1.1,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,Chr13,51742417,51742496,-1,Ensembl93,Milk caproic acid content,56345,Chr13
ENSBTAT00000042172-UMD3.1.1,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,Chr13,51742417,51742496,-1,Ensembl93,Milk caprylic acid content,56346,Chr13
ENSBTAT00000042172-UMD3.1.1,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,Chr13,51742417,51742496,-1,Ensembl93,Milk capric acid content,56347,Chr13
ENSBTAT00000042172-UMD3.1.1,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,Chr13,51742417,51742496,-1,Ensembl93,Milk myristoleic acid content,56348,Chr13
ENSBTAT00000042172-UMD3.1.1,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,Chr13,51742417,51742496,-1,Ensembl93,Milk palmitoleic acid content,56349,Chr13
ENSBTAT00000042173-UMD3.1.1,,,107,Chr21,67603523,67603629,1,Ensembl93,Sire conception rate,124004,Chr21
ENSBTAT00000042176-UMD3.1.1,bta-mir-186 [Source:miRBase;Acc:MI0005033],bta-mir-186,86,Chr3,74462295,74462380,1,Ensembl93,Calving ease (maternal),106486,Chr3
ENSBTAT00000042181-UMD3.1.1,bta-mir-92a-1 [Source:miRBase;Acc:MI0009905],bta-mir-92a-1,80,Chr12,66227255,66227334,1,Ensembl93,Myristoleic acid content,31771,Chr12
ENSBTAT00000042183-UMD3.1.1,bta-mir-30a [Source:miRBase;Acc:MI0005054],bta-mir-30a,67,Chr9,10768281,10768347,-1,Ensembl93,Basophil number,213401,Chr9
ENSBTAT00000042183-UMD3.1.1,bta-mir-30a [Source:miRBase;Acc:MI0005054],bta-mir-30a,67,Chr9,10768281,10768347,-1,Ensembl93,Eosinophil number,213413,Chr9
ENSBTAT00000042183-UMD3.1.1,bta-mir-30a [Source:miRBase;Acc:MI0005054],bta-mir-30a,67,Chr9,10768281,10768347,-1,Ensembl93,Average daily gain,167132,Chr9
ENSBTAT00000042187-UMD3.1.1,bta-mir-412 [Source:miRBase;Acc:MI0009827],bta-mir-412,90,Chr21,67603388,67603477,1,Ensembl93,Sire conception rate,124004,Chr21
ENSBTAT00000042188-UMD3.1.1,bta-mir-137 [Source:miRBase;Acc:MI0009740],bta-mir-137,102,Chr3,45448508,45448609,1,Ensembl93,Body weight (weaning),24711,Chr3
ENSBTAT00000042190-UMD3.1.1,bta-mir-378-1 [Source:miRBase;Acc:MI0009819],bta-mir-378-1,66,Chr7,63067301,63067366,1,Ensembl93,Milk myristic acid content,56328,Chr7
ENSBTAT00000042190-UMD3.1.1,bta-mir-378-1 [Source:miRBase;Acc:MI0009819],bta-mir-378-1,66,Chr7,63067301,63067366,1,Ensembl93,Milk stearic acid content,56329,Chr7
ENSBTAT00000042190-UMD3.1.1,bta-mir-378-1 [Source:miRBase;Acc:MI0009819],bta-mir-378-1,66,Chr7,63067301,63067366,1,Ensembl93,Milk lauroleic acid content,56330,Chr7
ENSBTAT00000042190-UMD3.1.1,bta-mir-378-1 [Source:miRBase;Acc:MI0009819],bta-mir-378-1,66,Chr7,63067301,63067366,1,Ensembl93,Milk myristoleic acid content,56331,Chr7
ENSBTAT00000042190-UMD3.1.1,bta-mir-378-1 [Source:miRBase;Acc:MI0009819],bta-mir-378-1,66,Chr7,63067301,63067366,1,Ensembl93,Cold tolerance,31181,Chr7
ENSBTAT00000042191-UMD3.1.1,bta-mir-324 [Source:miRBase;Acc:MI0009798],bta-mir-324,89,Chr19,27571341,27571429,-1,Ensembl93,Stillbirth,30550,Chr19
ENSBTAT00000042191-UMD3.1.1,bta-mir-324 [Source:miRBase;Acc:MI0009798],bta-mir-324,89,Chr19,27571341,27571429,-1,Ensembl93,Calving index,30547,Chr19
ENSBTAT00000042191-UMD3.1.1,bta-mir-324 [Source:miRBase;Acc:MI0009798],bta-mir-324,89,Chr19,27571341,27571429,-1,Ensembl93,Calving ease,15205,Chr19
ENSBTAT00000042191-UMD3.1.1,bta-mir-324 [Source:miRBase;Acc:MI0009798],bta-mir-324,89,Chr19,27571341,27571429,-1,Ensembl93,Calving index,15206,Chr19
ENSBTAT00000042191-UMD3.1.1,bta-mir-324 [Source:miRBase;Acc:MI0009798],bta-mir-324,89,Chr19,27571341,27571429,-1,Ensembl93,Calf size,15207,Chr19
ENSBTAT00000042191-UMD3.1.1,bta-mir-324 [Source:miRBase;Acc:MI0009798],bta-mir-324,89,Chr19,27571341,27571429,-1,Ensembl93,Calf size,15208,Chr19
ENSBTAT00000042191-UMD3.1.1,bta-mir-324 [Source:miRBase;Acc:MI0009798],bta-mir-324,89,Chr19,27571341,27571429,-1,Ensembl93,Calving ease,15209,Chr19
ENSBTAT00000042193-UMD3.1.1,bta-mir-138-1 [Source:miRBase;Acc:MI0009741],bta-mir-138-1,97,Chr22,14870573,14870669,1,Ensembl93,Subcutaneous fat,157098,Chr22
ENSBTAT00000042193-UMD3.1.1,bta-mir-138-1 [Source:miRBase;Acc:MI0009741],bta-mir-138-1,97,Chr22,14870573,14870669,1,Ensembl93,Subcutaneous fat,157099,Chr22
ENSBTAT00000042193-UMD3.1.1,bta-mir-138-1 [Source:miRBase;Acc:MI0009741],bta-mir-138-1,97,Chr22,14870573,14870669,1,Ensembl93,Milk decenoic acid content,56580,Chr22
ENSBTAT00000042193-UMD3.1.1,bta-mir-138-1 [Source:miRBase;Acc:MI0009741],bta-mir-138-1,97,Chr22,14870573,14870669,1,Ensembl93,Milk myristoleic acid content,56581,Chr22
ENSBTAT00000042194-UMD3.1.1,bta-mir-135b [Source:miRBase;Acc:MI0009738],bta-mir-135b,95,Chr16,3031951,3032045,-1,Ensembl93,Curd firmness,180260,Chr16
ENSBTAT00000042194-UMD3.1.1,bta-mir-135b [Source:miRBase;Acc:MI0009738],bta-mir-135b,95,Chr16,3031951,3032045,-1,Ensembl93,Milk alpha-S2-casein percentage,180261,Chr16
ENSBTAT00000042194-UMD3.1.1,bta-mir-135b [Source:miRBase;Acc:MI0009738],bta-mir-135b,95,Chr16,3031951,3032045,-1,Ensembl93,Milk kappa-casein percentage,180262,Chr16
ENSBTAT00000042196-UMD3.1.1,bta-mir-93 [Source:miRBase;Acc:MI0005050],bta-mir-93,77,Chr25,36892249,36892325,1,Ensembl93,Clinical mastitis,164914,Chr25
ENSBTAT00000042196-UMD3.1.1,bta-mir-93 [Source:miRBase;Acc:MI0005050],bta-mir-93,77,Chr25,36892249,36892325,1,Ensembl93,Milk protein yield,164893,Chr25
ENSBTAT00000042196-UMD3.1.1,bta-mir-93 [Source:miRBase;Acc:MI0005050],bta-mir-93,77,Chr25,36892249,36892325,1,Ensembl93,Calving ease (maternal),106510,Chr25
ENSBTAT00000042199-UMD3.1.1,bta-mir-323 [Source:miRBase;Acc:MI0009797],bta-mir-323,86,Chr21,67565468,67565553,1,Ensembl93,Sire conception rate,124004,Chr21
ENSBTAT00000042204-UMD3.1.1,bta-mir-135a-1 [Source:miRBase;Acc:MI0009737],bta-mir-135a-1,90,Chr22,49142028,49142117,1,Ensembl93,Milking speed,158277,Chr22
ENSBTAT00000042204-UMD3.1.1,bta-mir-135a-1 [Source:miRBase;Acc:MI0009737],bta-mir-135a-1,90,Chr22,49142028,49142117,1,Ensembl93,Milking speed,158278,Chr22
ENSBTAT00000042204-UMD3.1.1,bta-mir-135a-1 [Source:miRBase;Acc:MI0009737],bta-mir-135a-1,90,Chr22,49142028,49142117,1,Ensembl93,Milking speed,158279,Chr22
ENSBTAT00000042205-UMD3.1.1,bta-mir-133b [Source:miRBase;Acc:MI0009734],bta-mir-133b,84,Chr23,24312330,24312413,1,Ensembl93,Milk yield,156726,Chr23
ENSBTAT00000042205-UMD3.1.1,bta-mir-133b [Source:miRBase;Acc:MI0009734],bta-mir-133b,84,Chr23,24312330,24312413,1,Ensembl93,Conformation score,102040,Chr23
ENSBTAT00000042205-UMD3.1.1,bta-mir-133b [Source:miRBase;Acc:MI0009734],bta-mir-133b,84,Chr23,24312330,24312413,1,Ensembl93,Milk caproic acid content,56648,Chr23
ENSBTAT00000042208-UMD3.1.1,bta-mir-136 [Source:miRBase;Acc:MI0009739],bta-mir-136,92,Chr21,67431418,67431509,1,Ensembl93,Sire conception rate,124004,Chr21
ENSBTAT00000042209-UMD3.1.1,bta-mir-146a [Source:miRBase;Acc:MI0009746],bta-mir-146a,99,Chr7,74185035,74185133,1,Ensembl93,Shear force,20766,Chr7
ENSBTAT00000042209-UMD3.1.1,bta-mir-146a [Source:miRBase;Acc:MI0009746],bta-mir-146a,99,Chr7,74185035,74185133,1,Ensembl93,Cold tolerance,31181,Chr7
ENSBTAT00000042212-UMD3.1.1,bta-mir-326 [Source:miRBase;Acc:MI0009799],bta-mir-326,95,Chr15,55314009,55314103,-1,Ensembl93,Docosahexaenoic acid content,19704,Chr15
ENSBTAT00000042212-UMD3.1.1,bta-mir-326 [Source:miRBase;Acc:MI0009799],bta-mir-326,95,Chr15,55314009,55314103,-1,Ensembl93,Omega-3 to omega-6 fatty acid ratio,19740,Chr15
