index,chr,end,gene_id,start,strand,gene_description,index,miRNA_identifier,description,symbol,miRNA_length,miRNA_chr,mirna_start,mirna_end,miRNA_strand,miRNA_source,trait,QTL_id_UMD31,QTL_chr
479,1,107928220.0,ENSBTAG00000005862,107895574.0,-1.0,structural maintenance of chromosomes 4 [Source:VGNC Symbol;Acc:VGNC:35001],457,ENSBTAT00000042295,bta-mir-16b [Source:miRBase;Acc:MI0004739],bta-mir-16b,93,1,107923236,107923328,-1,Ensembl93,Body weight (yearling),22769,Chr1
479,1,107928220.0,ENSBTAG00000005862,107895574.0,-1.0,structural maintenance of chromosomes 4 [Source:VGNC Symbol;Acc:VGNC:35001],458,ENSBTAT00000042295,bta-mir-16b [Source:miRBase;Acc:MI0004739],bta-mir-16b,93,1,107923236,107923328,-1,Ensembl93,Body weight (yearling),22770,Chr1
479,1,107928220.0,ENSBTAG00000005862,107895574.0,-1.0,structural maintenance of chromosomes 4 [Source:VGNC Symbol;Acc:VGNC:35001],459,ENSBTAT00000042295,bta-mir-16b [Source:miRBase;Acc:MI0004739],bta-mir-16b,93,1,107923236,107923328,-1,Ensembl93,Interval to first estrus after calving,170016,Chr1
479,1,107928220.0,ENSBTAG00000005862,107895574.0,-1.0,structural maintenance of chromosomes 4 [Source:VGNC Symbol;Acc:VGNC:35001],460,ENSBTAT00000042295,bta-mir-16b [Source:miRBase;Acc:MI0004739],bta-mir-16b,93,1,107923236,107923328,-1,Ensembl93,Body weight,56477,Chr1
479,1,107928220.0,ENSBTAG00000005862,107895574.0,-1.0,structural maintenance of chromosomes 4 [Source:VGNC Symbol;Acc:VGNC:35001],500,ENSBTAT00000042308,bta-mir-15b [Source:miRBase;Acc:MI0005012],bta-mir-15b,98,1,107923379,107923476,-1,Ensembl93,Body weight (yearling),22769,Chr1
479,1,107928220.0,ENSBTAG00000005862,107895574.0,-1.0,structural maintenance of chromosomes 4 [Source:VGNC Symbol;Acc:VGNC:35001],501,ENSBTAT00000042308,bta-mir-15b [Source:miRBase;Acc:MI0005012],bta-mir-15b,98,1,107923379,107923476,-1,Ensembl93,Body weight (yearling),22770,Chr1
479,1,107928220.0,ENSBTAG00000005862,107895574.0,-1.0,structural maintenance of chromosomes 4 [Source:VGNC Symbol;Acc:VGNC:35001],502,ENSBTAT00000042308,bta-mir-15b [Source:miRBase;Acc:MI0005012],bta-mir-15b,98,1,107923379,107923476,-1,Ensembl93,Interval to first estrus after calving,170016,Chr1
479,1,107928220.0,ENSBTAG00000005862,107895574.0,-1.0,structural maintenance of chromosomes 4 [Source:VGNC Symbol;Acc:VGNC:35001],503,ENSBTAT00000042308,bta-mir-15b [Source:miRBase;Acc:MI0005012],bta-mir-15b,98,1,107923379,107923476,-1,Ensembl93,Body weight,56477,Chr1
491,1,110273727.0,ENSBTAG00000031561,109821737.0,-1.0,arginine and serine rich coiled-coil 1 [Source:VGNC Symbol;Acc:VGNC:53602],4449,ENSBTAT00000061779,,,64,1,110115005,110115068,-1,Ensembl93,Myristic acid content,101020,Chr1
491,1,110273727.0,ENSBTAG00000031561,109821737.0,-1.0,arginine and serine rich coiled-coil 1 [Source:VGNC Symbol;Acc:VGNC:53602],4450,ENSBTAT00000061779,,,64,1,110115005,110115068,-1,Ensembl93,Body weight (yearling),22770,Chr1
491,1,110273727.0,ENSBTAG00000031561,109821737.0,-1.0,arginine and serine rich coiled-coil 1 [Source:VGNC Symbol;Acc:VGNC:53602],4451,ENSBTAT00000061779,,,64,1,110115005,110115068,-1,Ensembl93,Interval to first estrus after calving,170016,Chr1
491,1,110273727.0,ENSBTAG00000031561,109821737.0,-1.0,arginine and serine rich coiled-coil 1 [Source:VGNC Symbol;Acc:VGNC:53602],4452,ENSBTAT00000061779,,,64,1,110115005,110115068,-1,Ensembl93,Body weight,56477,Chr1
500,1,112455492.0,ENSBTAG00000018465,112013083.0,-1.0,potassium voltage-gated channel subfamily A member regulatory beta subunit 1 [Source:VGNC Symbol;Acc:VGNC:30427],2192,ENSBTAT00000051774,,,72,1,112211119,112211190,-1,Ensembl93,Body weight (yearling),22770,Chr1
500,1,112455492.0,ENSBTAG00000018465,112013083.0,-1.0,potassium voltage-gated channel subfamily A member regulatory beta subunit 1 [Source:VGNC Symbol;Acc:VGNC:30427],2193,ENSBTAT00000051774,,,72,1,112211119,112211190,-1,Ensembl93,Interval to first estrus after calving,170016,Chr1
500,1,112455492.0,ENSBTAG00000018465,112013083.0,-1.0,potassium voltage-gated channel subfamily A member regulatory beta subunit 1 [Source:VGNC Symbol;Acc:VGNC:30427],2194,ENSBTAT00000051774,,,72,1,112211119,112211190,-1,Ensembl93,Body weight,56477,Chr1
638,1,138305752.0,ENSBTAG00000002966,138139495.0,-1.0,DnaJ heat shock protein family (Hsp40) member C13 [Source:VGNC Symbol;Acc:VGNC:53532],10912,ENSBTAT00000066285,,,72,1,138151818,138151889,-1,Ensembl93,Birth index,15164,Chr1
638,1,138305752.0,ENSBTAG00000002966,138139495.0,-1.0,DnaJ heat shock protein family (Hsp40) member C13 [Source:VGNC Symbol;Acc:VGNC:53532],10913,ENSBTAT00000066285,,,72,1,138151818,138151889,-1,Ensembl93,Calving ease,15165,Chr1
638,1,138305752.0,ENSBTAG00000002966,138139495.0,-1.0,DnaJ heat shock protein family (Hsp40) member C13 [Source:VGNC Symbol;Acc:VGNC:53532],10914,ENSBTAT00000066285,,,72,1,138151818,138151889,-1,Ensembl93,Calf size,15166,Chr1
638,1,138305752.0,ENSBTAG00000002966,138139495.0,-1.0,DnaJ heat shock protein family (Hsp40) member C13 [Source:VGNC Symbol;Acc:VGNC:53532],10915,ENSBTAT00000066285,,,72,1,138151818,138151889,-1,Ensembl93,Calf size,30483,Chr1
638,1,138305752.0,ENSBTAG00000002966,138139495.0,-1.0,DnaJ heat shock protein family (Hsp40) member C13 [Source:VGNC Symbol;Acc:VGNC:53532],10916,ENSBTAT00000066285,,,72,1,138151818,138151889,-1,Ensembl93,Calving ease,30482,Chr1
638,1,138305752.0,ENSBTAG00000002966,138139495.0,-1.0,DnaJ heat shock protein family (Hsp40) member C13 [Source:VGNC Symbol;Acc:VGNC:53532],10917,ENSBTAT00000066285,,,72,1,138151818,138151889,-1,Ensembl93,Interval to first estrus after calving,170016,Chr1
638,1,138305752.0,ENSBTAG00000002966,138139495.0,-1.0,DnaJ heat shock protein family (Hsp40) member C13 [Source:VGNC Symbol;Acc:VGNC:53532],10918,ENSBTAT00000066285,,,72,1,138151818,138151889,-1,Ensembl93,Body weight,56477,Chr1
801,10,4799774.0,ENSBTAG00000017525,4619382.0,-1.0,autophagy related 12 [Source:VGNC Symbol;Acc:VGNC:26250],6618,ENSBTAT00000062551,,,84,10,4663360,4663443,-1,Ensembl93,Udder swelling score,106593,Chr10
801,10,4799774.0,ENSBTAG00000017525,4619382.0,-1.0,autophagy related 12 [Source:VGNC Symbol;Acc:VGNC:26250],6619,ENSBTAT00000062551,,,84,10,4663360,4663443,-1,Ensembl93,Milk capric acid content,211538,Chr10
801,10,4799774.0,ENSBTAG00000017525,4619382.0,-1.0,autophagy related 12 [Source:VGNC Symbol;Acc:VGNC:26250],6620,ENSBTAT00000062551,,,84,10,4663360,4663443,-1,Ensembl93,Milk lauric acid content,211539,Chr10
801,10,4799774.0,ENSBTAG00000017525,4619382.0,-1.0,autophagy related 12 [Source:VGNC Symbol;Acc:VGNC:26250],6621,ENSBTAT00000062551,,,84,10,4663360,4663443,-1,Ensembl93,Milk capric acid content,211540,Chr10
801,10,4799774.0,ENSBTAG00000017525,4619382.0,-1.0,autophagy related 12 [Source:VGNC Symbol;Acc:VGNC:26250],6622,ENSBTAT00000062551,,,84,10,4663360,4663443,-1,Ensembl93,Milk lauric acid content,211541,Chr10
801,10,4799774.0,ENSBTAG00000017525,4619382.0,-1.0,autophagy related 12 [Source:VGNC Symbol;Acc:VGNC:26250],6623,ENSBTAT00000062551,,,84,10,4663360,4663443,-1,Ensembl93,Milk capric acid content,172103,Chr10
801,10,4799774.0,ENSBTAG00000017525,4619382.0,-1.0,autophagy related 12 [Source:VGNC Symbol;Acc:VGNC:26250],6624,ENSBTAT00000062551,,,84,10,4663360,4663443,-1,Ensembl93,Milk lauric acid content,172104,Chr10
801,10,4799774.0,ENSBTAG00000017525,4619382.0,-1.0,autophagy related 12 [Source:VGNC Symbol;Acc:VGNC:26250],6625,ENSBTAT00000062551,,,84,10,4663360,4663443,-1,Ensembl93,Body weight (mature),65262,Chr10
830,10,9300567.0,ENSBTAG00000005016,9040252.0,-1.0,adaptor related protein complex 3 subunit beta 1 [Source:VGNC Symbol;Acc:VGNC:25987],3950,ENSBTAT00000060725,,,129,10,9094227,9094355,-1,Ensembl93,Feet and leg conformation,156853,Chr10
830,10,9300567.0,ENSBTAG00000005016,9040252.0,-1.0,adaptor related protein complex 3 subunit beta 1 [Source:VGNC Symbol;Acc:VGNC:25987],3951,ENSBTAT00000060725,,,129,10,9094227,9094355,-1,Ensembl93,Body weight (mature),65262,Chr10
830,10,9300567.0,ENSBTAG00000005016,9040252.0,-1.0,adaptor related protein complex 3 subunit beta 1 [Source:VGNC Symbol;Acc:VGNC:25987],3952,ENSBTAT00000060725,,,129,10,9094227,9094355,-1,Ensembl93,Maturity rate,65484,Chr10
965,10,21345624.0,ENSBTAG00000009703,21325413.0,1.0,myosin heavy chain 7 [Source:NCBI gene;Acc:282714],2732,ENSBTAT00000051839,bta-mir-208b [Source:miRBase;Acc:MI0009774],bta-mir-208b,80,10,21340623,21340702,1,Ensembl93,Longissimus muscle area,24704,Chr10
965,10,21345624.0,ENSBTAG00000009703,21325413.0,1.0,myosin heavy chain 7 [Source:NCBI gene;Acc:282714],2733,ENSBTAT00000051839,bta-mir-208b [Source:miRBase;Acc:MI0009774],bta-mir-208b,80,10,21340623,21340702,1,Ensembl93,Maturity rate,65490,Chr10
965,10,21345624.0,ENSBTAG00000009703,21325413.0,1.0,myosin heavy chain 7 [Source:NCBI gene;Acc:282714],2734,ENSBTAT00000051839,bta-mir-208b [Source:miRBase;Acc:MI0009774],bta-mir-208b,80,10,21340623,21340702,1,Ensembl93,Maturity rate,65491,Chr10
965,10,21345624.0,ENSBTAG00000009703,21325413.0,1.0,myosin heavy chain 7 [Source:NCBI gene;Acc:282714],2735,ENSBTAT00000051839,bta-mir-208b [Source:miRBase;Acc:MI0009774],bta-mir-208b,80,10,21340623,21340702,1,Ensembl93,Maturity rate,65492,Chr10
965,10,21345624.0,ENSBTAG00000009703,21325413.0,1.0,myosin heavy chain 7 [Source:NCBI gene;Acc:282714],2736,ENSBTAT00000051839,bta-mir-208b [Source:miRBase;Acc:MI0009774],bta-mir-208b,80,10,21340623,21340702,1,Ensembl93,Maturity rate,65493,Chr10
965,10,21345624.0,ENSBTAG00000009703,21325413.0,1.0,myosin heavy chain 7 [Source:NCBI gene;Acc:282714],2737,ENSBTAT00000051839,bta-mir-208b [Source:miRBase;Acc:MI0009774],bta-mir-208b,80,10,21340623,21340702,1,Ensembl93,Maturity rate,65487,Chr10
965,10,21345624.0,ENSBTAG00000009703,21325413.0,1.0,myosin heavy chain 7 [Source:NCBI gene;Acc:282714],2738,ENSBTAT00000051839,bta-mir-208b [Source:miRBase;Acc:MI0009774],bta-mir-208b,80,10,21340623,21340702,1,Ensembl93,Maturity rate,65488,Chr10
965,10,21345624.0,ENSBTAG00000009703,21325413.0,1.0,myosin heavy chain 7 [Source:NCBI gene;Acc:282714],2739,ENSBTAT00000051839,bta-mir-208b [Source:miRBase;Acc:MI0009774],bta-mir-208b,80,10,21340623,21340702,1,Ensembl93,Maturity rate,65489,Chr10
965,10,21345624.0,ENSBTAG00000009703,21325413.0,1.0,myosin heavy chain 7 [Source:NCBI gene;Acc:282714],2740,ENSBTAT00000051839,bta-mir-208b [Source:miRBase;Acc:MI0009774],bta-mir-208b,80,10,21340623,21340702,1,Ensembl93,Maturity rate,65486,Chr10
966,10,21377051.0,ENSBTAG00000040053,21350296.0,1.0,myosin heavy chain 6 [Source:VGNC Symbol;Acc:VGNC:55126],259,ENSBTAT00000042242,,,83,10,21369591,21369673,1,Ensembl93,Longissimus muscle area,24704,Chr10
966,10,21377051.0,ENSBTAG00000040053,21350296.0,1.0,myosin heavy chain 6 [Source:VGNC Symbol;Acc:VGNC:55126],260,ENSBTAT00000042242,,,83,10,21369591,21369673,1,Ensembl93,Maturity rate,65490,Chr10
966,10,21377051.0,ENSBTAG00000040053,21350296.0,1.0,myosin heavy chain 6 [Source:VGNC Symbol;Acc:VGNC:55126],261,ENSBTAT00000042242,,,83,10,21369591,21369673,1,Ensembl93,Maturity rate,65491,Chr10
966,10,21377051.0,ENSBTAG00000040053,21350296.0,1.0,myosin heavy chain 6 [Source:VGNC Symbol;Acc:VGNC:55126],262,ENSBTAT00000042242,,,83,10,21369591,21369673,1,Ensembl93,Maturity rate,65492,Chr10
966,10,21377051.0,ENSBTAG00000040053,21350296.0,1.0,myosin heavy chain 6 [Source:VGNC Symbol;Acc:VGNC:55126],263,ENSBTAT00000042242,,,83,10,21369591,21369673,1,Ensembl93,Maturity rate,65493,Chr10
966,10,21377051.0,ENSBTAG00000040053,21350296.0,1.0,myosin heavy chain 6 [Source:VGNC Symbol;Acc:VGNC:55126],264,ENSBTAT00000042242,,,83,10,21369591,21369673,1,Ensembl93,Maturity rate,65487,Chr10
966,10,21377051.0,ENSBTAG00000040053,21350296.0,1.0,myosin heavy chain 6 [Source:VGNC Symbol;Acc:VGNC:55126],265,ENSBTAT00000042242,,,83,10,21369591,21369673,1,Ensembl93,Maturity rate,65488,Chr10
966,10,21377051.0,ENSBTAG00000040053,21350296.0,1.0,myosin heavy chain 6 [Source:VGNC Symbol;Acc:VGNC:55126],266,ENSBTAT00000042242,,,83,10,21369591,21369673,1,Ensembl93,Maturity rate,65489,Chr10
966,10,21377051.0,ENSBTAG00000040053,21350296.0,1.0,myosin heavy chain 6 [Source:VGNC Symbol;Acc:VGNC:55126],267,ENSBTAT00000042242,,,83,10,21369591,21369673,1,Ensembl93,Maturity rate,65486,Chr10
1331,10,47796327.0,ENSBTAG00000003667,47303875.0,-1.0,talin 2 [Source:VGNC Symbol;Acc:VGNC:35898],1416,ENSBTAT00000042428,bta-mir-190a [Source:miRBase;Acc:MI0009762],bta-mir-190a,85,10,47321061,47321145,-1,Ensembl93,Maturity rate,65487,Chr10
1331,10,47796327.0,ENSBTAG00000003667,47303875.0,-1.0,talin 2 [Source:VGNC Symbol;Acc:VGNC:35898],1417,ENSBTAT00000042428,bta-mir-190a [Source:miRBase;Acc:MI0009762],bta-mir-190a,85,10,47321061,47321145,-1,Ensembl93,Maturity rate,65488,Chr10
1331,10,47796327.0,ENSBTAG00000003667,47303875.0,-1.0,talin 2 [Source:VGNC Symbol;Acc:VGNC:35898],1418,ENSBTAT00000042428,bta-mir-190a [Source:miRBase;Acc:MI0009762],bta-mir-190a,85,10,47321061,47321145,-1,Ensembl93,Maturity rate,65489,Chr10
1331,10,47796327.0,ENSBTAG00000003667,47303875.0,-1.0,talin 2 [Source:VGNC Symbol;Acc:VGNC:35898],1419,ENSBTAT00000042428,bta-mir-190a [Source:miRBase;Acc:MI0009762],bta-mir-190a,85,10,47321061,47321145,-1,Ensembl93,Maturity rate,65486,Chr10
1365,10,55028162.0,ENSBTAG00000012741,55001791.0,1.0,cell cycle progression 1 [Source:VGNC Symbol;Acc:VGNC:26982],1081,ENSBTAT00000042393,bta-mir-628 [Source:miRBase;Acc:MI0009878],bta-mir-628,95,10,55017684,55017778,1,Ensembl93,Maturity rate,65487,Chr10
1365,10,55028162.0,ENSBTAG00000012741,55001791.0,1.0,cell cycle progression 1 [Source:VGNC Symbol;Acc:VGNC:26982],1082,ENSBTAT00000042393,bta-mir-628 [Source:miRBase;Acc:MI0009878],bta-mir-628,95,10,55017684,55017778,1,Ensembl93,Maturity rate,65488,Chr10
1365,10,55028162.0,ENSBTAG00000012741,55001791.0,1.0,cell cycle progression 1 [Source:VGNC Symbol;Acc:VGNC:26982],1083,ENSBTAT00000042393,bta-mir-628 [Source:miRBase;Acc:MI0009878],bta-mir-628,95,10,55017684,55017778,1,Ensembl93,Maturity rate,65489,Chr10
1365,10,55028162.0,ENSBTAG00000012741,55001791.0,1.0,cell cycle progression 1 [Source:VGNC Symbol;Acc:VGNC:26982],1084,ENSBTAT00000042393,bta-mir-628 [Source:miRBase;Acc:MI0009878],bta-mir-628,95,10,55017684,55017778,1,Ensembl93,Maturity rate,65486,Chr10
1421,10,65246838.0,ENSBTAG00000004558,65243194.0,-1.0,chromosome 10 C15orf48 homolog [Source:VGNC Symbol;Acc:VGNC:52612],1773,ENSBTAT00000050901,bta-mir-147 [Source:miRBase;Acc:MI0009747],bta-mir-147,80,10,65243378,65243457,-1,Ensembl93,Maturity rate,65487,Chr10
1421,10,65246838.0,ENSBTAG00000004558,65243194.0,-1.0,chromosome 10 C15orf48 homolog [Source:VGNC Symbol;Acc:VGNC:52612],1774,ENSBTAT00000050901,bta-mir-147 [Source:miRBase;Acc:MI0009747],bta-mir-147,80,10,65243378,65243457,-1,Ensembl93,Maturity rate,65488,Chr10
1421,10,65246838.0,ENSBTAG00000004558,65243194.0,-1.0,chromosome 10 C15orf48 homolog [Source:VGNC Symbol;Acc:VGNC:52612],1775,ENSBTAT00000050901,bta-mir-147 [Source:miRBase;Acc:MI0009747],bta-mir-147,80,10,65243378,65243457,-1,Ensembl93,Maturity rate,65489,Chr10
1421,10,65246838.0,ENSBTAG00000004558,65243194.0,-1.0,chromosome 10 C15orf48 homolog [Source:VGNC Symbol;Acc:VGNC:52612],1776,ENSBTAT00000050901,bta-mir-147 [Source:miRBase;Acc:MI0009747],bta-mir-147,80,10,65243378,65243457,-1,Ensembl93,Maturity rate,65486,Chr10
1652,10,93677055.0,ENSBTAG00000013652,93617615.0,-1.0,general transcription factor IIA subunit 1 [Source:VGNC Symbol;Acc:VGNC:29691],10072,ENSBTAT00000064989,,,81,10,93652214,93652294,-1,Ensembl93,Milk protein yield,156684,Chr10
1652,10,93677055.0,ENSBTAG00000013652,93617615.0,-1.0,general transcription factor IIA subunit 1 [Source:VGNC Symbol;Acc:VGNC:29691],10073,ENSBTAT00000064989,,,81,10,93652214,93652294,-1,Ensembl93,Maturity rate,65486,Chr10
1818,11,11356938.0,ENSBTAG00000006162,11315218.0,1.0,RAB11 family interacting protein 5 [Source:VGNC Symbol;Acc:VGNC:54474],5039,ENSBTAT00000062023,bta-mir-2294 [Source:miRBase;Acc:MI0011304],bta-mir-2294,63,11,11316131,11316193,1,Ensembl93,Body weight (weaning),24730,Chr11
1818,11,11356938.0,ENSBTAG00000006162,11315218.0,1.0,RAB11 family interacting protein 5 [Source:VGNC Symbol;Acc:VGNC:54474],5040,ENSBTAT00000062023,bta-mir-2294 [Source:miRBase;Acc:MI0011304],bta-mir-2294,63,11,11316131,11316193,1,Ensembl93,Shear force,171211,Chr11
1908,11,28668899.0,ENSBTAG00000003711,28576346.0,1.0,endothelial PAS domain protein 1 [Source:VGNC Symbol;Acc:VGNC:28518],10806,ENSBTAT00000066180,,,86,11,28600747,28600832,1,Ensembl93,Birth index,30517,Chr11
1908,11,28668899.0,ENSBTAG00000003711,28576346.0,1.0,endothelial PAS domain protein 1 [Source:VGNC Symbol;Acc:VGNC:28518],10807,ENSBTAT00000066180,,,86,11,28600747,28600832,1,Ensembl93,Shear force,171211,Chr11
3025,13,33518736.0,ENSBTAG00000001552,33451678.0,1.0,enhancer of polycomb homolog 1 [Source:VGNC Symbol;Acc:VGNC:28527],3981,ENSBTAT00000060831,,,83,13,33451890,33451972,1,Ensembl93,Interval to first estrus after calving,138574,Chr13
3025,13,33518736.0,ENSBTAG00000001552,33451678.0,1.0,enhancer of polycomb homolog 1 [Source:VGNC Symbol;Acc:VGNC:28527],3982,ENSBTAT00000060831,,,83,13,33451890,33451972,1,Ensembl93,Interval from first to last insemination,138575,Chr13
3025,13,33518736.0,ENSBTAG00000001552,33451678.0,1.0,enhancer of polycomb homolog 1 [Source:VGNC Symbol;Acc:VGNC:28527],3983,ENSBTAT00000060831,,,83,13,33451890,33451972,1,Ensembl93,Conception rate,138576,Chr13
3063,13,39871299.0,ENSBTAG00000020382,39808122.0,1.0,Ras and Rab interactor 2 [Source:VGNC Symbol;Acc:VGNC:33976],7220,ENSBTAT00000062653,bta-mir-2305 [Source:miRBase;Acc:MI0011318],bta-mir-2305,66,13,39836873,39836938,1,Ensembl93,Meat color L*,214898,Chr13
3166,13,51765187.0,ENSBTAG00000007920,51736323.0,-1.0,pantothenate kinase 2 [Source:VGNC Symbol;Acc:VGNC:32564],97,ENSBTAT00000042172,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,13,51742417,51742496,-1,Ensembl93,Calving ease,106445,Chr13
3166,13,51765187.0,ENSBTAG00000007920,51736323.0,-1.0,pantothenate kinase 2 [Source:VGNC Symbol;Acc:VGNC:32564],98,ENSBTAT00000042172,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,13,51742417,51742496,-1,Ensembl93,Milk caproic acid content,56617,Chr13
3166,13,51765187.0,ENSBTAG00000007920,51736323.0,-1.0,pantothenate kinase 2 [Source:VGNC Symbol;Acc:VGNC:32564],99,ENSBTAT00000042172,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,13,51742417,51742496,-1,Ensembl93,Milk caprylic acid content,56618,Chr13
3166,13,51765187.0,ENSBTAG00000007920,51736323.0,-1.0,pantothenate kinase 2 [Source:VGNC Symbol;Acc:VGNC:32564],100,ENSBTAT00000042172,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,13,51742417,51742496,-1,Ensembl93,Milk capric acid content,56619,Chr13
3166,13,51765187.0,ENSBTAG00000007920,51736323.0,-1.0,pantothenate kinase 2 [Source:VGNC Symbol;Acc:VGNC:32564],101,ENSBTAT00000042172,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,13,51742417,51742496,-1,Ensembl93,Milk caproic acid content,56345,Chr13
3166,13,51765187.0,ENSBTAG00000007920,51736323.0,-1.0,pantothenate kinase 2 [Source:VGNC Symbol;Acc:VGNC:32564],102,ENSBTAT00000042172,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,13,51742417,51742496,-1,Ensembl93,Milk caprylic acid content,56346,Chr13
3166,13,51765187.0,ENSBTAG00000007920,51736323.0,-1.0,pantothenate kinase 2 [Source:VGNC Symbol;Acc:VGNC:32564],103,ENSBTAT00000042172,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,13,51742417,51742496,-1,Ensembl93,Milk capric acid content,56347,Chr13
3166,13,51765187.0,ENSBTAG00000007920,51736323.0,-1.0,pantothenate kinase 2 [Source:VGNC Symbol;Acc:VGNC:32564],104,ENSBTAT00000042172,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,13,51742417,51742496,-1,Ensembl93,Milk myristoleic acid content,56348,Chr13
3166,13,51765187.0,ENSBTAG00000007920,51736323.0,-1.0,pantothenate kinase 2 [Source:VGNC Symbol;Acc:VGNC:32564],105,ENSBTAT00000042172,bta-mir-103-2 [Source:miRBase;Acc:MI0005456],bta-mir-103-2,80,13,51742417,51742496,-1,Ensembl93,Milk palmitoleic acid content,56349,Chr13
3299,13,59510393.0,ENSBTAG00000015362,59425467.0,1.0,bone morphogenetic protein 7 [Source:VGNC Symbol;Acc:VGNC:26522],4552,ENSBTAT00000061889,bta-mir-2307 [Source:miRBase;Acc:MI0011320],bta-mir-2307,69,13,59489950,59490018,1,Ensembl93,Clinical mastitis,57305,Chr13
